ID	Chromosome	Position	MutantCount	ReferenceCount	INFO
mut1	1	1	31	46	ID=mut1;
mut11	1	11	21	27	ID=mut11;
mut15	1	15	22	35	ID=mut15;
mut20	1	20	30	37	ID=mut20;
mut25	1	25	15	30	ID=mut25;
mut28	1	28	24	59	ID=mut28;
mut29	1	29	37	59	ID=mut29;
mut34	1	34	15	40	ID=mut34;
mut36	1	36	31	38	ID=mut36;
mut38	1	38	20	55	ID=mut38;
mut42	1	42	12	20	ID=mut42;
mut48	1	48	9	15	ID=mut48;
mut52	1	52	17	17	ID=mut52;
mut54	1	54	35	36	ID=mut54;
mut58	1	58	47	61	ID=mut58;
mut63	1	63	25	62	ID=mut63;
mut69	1	69	9	10	ID=mut69;
mut75	1	75	18	34	ID=mut75;
mut81	1	81	27	68	ID=mut81;
mut84	1	84	20	36	ID=mut84;
mut88	1	88	31	62	ID=mut88;
mut91	1	91	53	69	ID=mut91;
mut92	1	92	14	31	ID=mut92;
mut100	1	100	19	22	ID=mut100;
mut104	1	104	18	31	ID=mut104;
mut118	1	118	30	47	ID=mut118;
mut124	1	124	11	26	ID=mut124;
mut131	1	131	20	34	ID=mut131;
mut143	1	143	12	14	ID=mut143;
mut144	1	144	16	30	ID=mut144;
mut145	1	145	12	31	ID=mut145;
mut146	1	146	10	27	ID=mut146;
mut158	1	158	8	17	ID=mut158;
mut163	1	163	22	31	ID=mut163;
mut173	1	173	19	36	ID=mut173;
mut175	1	175	21	26	ID=mut175;
mut179	1	179	15	22	ID=mut179;
mut190	1	190	20	34	ID=mut190;
mut193	1	193	26	41	ID=mut193;
mut194	1	194	25	40	ID=mut194;
mut195	1	195	21	31	ID=mut195;
mut196	1	196	18	31	ID=mut196;
mut198	1	198	38	58	ID=mut198;
mut199	1	199	29	41	ID=mut199;
mut212	1	212	25	42	ID=mut212;
mut216	1	216	28	48	ID=mut216;
mut223	1	223	15	30	ID=mut223;
mut225	1	225	22	26	ID=mut225;
mut229	1	229	16	32	ID=mut229;
mut243	1	243	23	27	ID=mut243;
mut245	1	245	37	76	ID=mut245;
mut250	1	250	28	65	ID=mut250;
mut251	1	251	40	76	ID=mut251;
mut266	1	266	18	32	ID=mut266;
mut269	1	269	13	17	ID=mut269;
mut276	1	276	21	44	ID=mut276;
mut281	1	281	24	44	ID=mut281;
mut287	1	287	29	69	ID=mut287;
mut314	1	314	25	33	ID=mut314;
mut322	1	322	18	54	ID=mut322;
mut325	1	325	13	38	ID=mut325;
mut327	1	327	25	42	ID=mut327;
mut329	1	329	14	27	ID=mut329;
mut341	1	341	29	47	ID=mut341;
mut343	1	343	13	22	ID=mut343;
mut355	1	355	15	17	ID=mut355;
mut357	1	357	16	43	ID=mut357;
mut358	1	358	22	41	ID=mut358;
mut362	1	362	20	35	ID=mut362;
mut368	1	368	21	51	ID=mut368;
mut374	1	374	12	26	ID=mut374;
mut377	1	377	31	47	ID=mut377;
mut378	1	378	23	41	ID=mut378;
mut386	1	386	3	21	ID=mut386;
mut390	1	390	17	35	ID=mut390;
mut391	1	391	45	78	ID=mut391;
mut397	1	397	40	51	ID=mut397;
mut405	1	405	16	44	ID=mut405;
mut412	1	412	28	57	ID=mut412;
mut415	1	415	34	56	ID=mut415;
mut422	1	422	11	16	ID=mut422;
mut426	1	426	29	45	ID=mut426;
mut434	1	434	14	24	ID=mut434;
mut435	1	435	12	29	ID=mut435;
mut455	1	455	13	19	ID=mut455;
mut458	1	458	18	35	ID=mut458;
mut460	1	460	31	40	ID=mut460;
mut465	1	465	19	21	ID=mut465;
mut471	1	471	16	42	ID=mut471;
mut473	1	473	23	37	ID=mut473;
mut483	1	483	10	21	ID=mut483;
mut484	1	484	33	51	ID=mut484;
mut489	1	489	31	45	ID=mut489;
mut490	1	490	26	42	ID=mut490;
mut502	1	502	8	22	ID=mut502;
mut503	1	503	11	18	ID=mut503;
mut504	1	504	18	33	ID=mut504;
mut509	1	509	21	41	ID=mut509;
mut518	1	518	7	25	ID=mut518;
mut525	1	525	6	22	ID=mut525;
mut533	1	533	23	41	ID=mut533;
